afi_hash64;fkFechaCreacionPQR;descCanalRadicacion;descTema;descSexo;edadAfiliado;descCiudadUbicacion;descSegmentoAfiliado;EstadoPO;EstadoPV;EstadoCES;ultimoIBC;valorIngresos;IndicadorUsaClave;descCicloVida;TieneEmail;idAfiliadoTieneClave;descRegional;descOcupacion
00224e970922acf58fc7645a287fc10043c4dff16;43565;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;46;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;2144756;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff17;43739;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;45;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;2752349;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff18;43974;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;48;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;1787067;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff19;43793;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;23;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;1467637;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff20;43933;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;52;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;1024171;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff21;43775;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;42;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;INACTIVO;904991;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff22;43572;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;58;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;INACTIVO;2544641;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff23;43816;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;28;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;INACTIVO;1355927;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff24;43623;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;51;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2135788;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff25;43911;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;37;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1687447;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff26;43677;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;50;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2204157;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff27;43624;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;35;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2843685;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff28;43938;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;26;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2928683;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff29;43791;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;55;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1045176;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff30;43575;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;30;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1659842;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff31;43913;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;20;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1487856;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff32;43910;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;42;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2264629;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff33;43984;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;40;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2587386;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff34;43656;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;25;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2088251;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff35;43936;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;38;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;938851;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff36;43949;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;19;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1506424;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff37;43990;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;46;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2242582;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff38;43599;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;39;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2101882;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff39;43716;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;44;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2679146;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff40;43692;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;39;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2752521;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff41;43971;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;34;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2087307;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff42;43975;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;36;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1437158;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff43;43546;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;53;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1010696;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff44;43567;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;31;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1346014;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff45;43470;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;32;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2886361;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff46;43799;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;22;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1714856;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff47;43487;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;19;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1453662;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff48;43517;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;57;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1453579;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff49;43746;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;19;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2770260;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff50;43485;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;53;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2074001;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff51;43644;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;52;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2805093;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff52;43831;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;19;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;817811;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff53;43778;OFICINA DE SERVICIO;ACTUALIZACIÓN DE DATOS;MASCULINO;43;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2383638;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff54;43538;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;46;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1506851;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff55;43470;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;36;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;1642342;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff56;43519;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;43;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2372781;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff57;43806;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;60;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;INACTIVO;2941724;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff58;43971;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;18;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;ACTIVO;1902313;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff59;43611;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;28;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;ACTIVO;2064248;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff60;43648;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;26;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;ACTIVO;1059716;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff61;43517;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;51;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;ACTIVO;1661071;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff62;43965;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;25;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;ACTIVO;2030359;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff63;43852;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;22;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;ACTIVO;848362;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff64;43828;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;40;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;ACTIVO;2025090;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff65;43881;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;58;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;INACTIVO;ACTIVO;1694924;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff66;43627;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;50;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;1071305;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff67;43585;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;29;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;1284202;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff68;43711;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;30;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2146514;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff69;43805;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;35;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;880896;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff70;43918;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;35;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2268023;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff71;43478;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;60;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;1738619;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff72;43957;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;19;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2740560;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff73;43795;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;48;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;1474833;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff74;43729;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;24;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;1830830;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff75;43796;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;30;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2258746;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff76;43533;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;20;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2624739;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff77;43730;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;58;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;1198935;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff78;43578;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;37;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2201634;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff79;43857;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;50;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2578391;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff80;43851;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;42;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;1357445;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff81;43630;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;55;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2930687;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff82;43577;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;35;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2348724;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff83;43514;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;37;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2256749;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff84;43879;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;46;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2387456;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff85;43963;LINEA DE SERVICIO;CERTIFICADOS;MASCULINO;20;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2882561;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff86;43832;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;45;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2931688;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff87;43531;OFICINA DE SERVICIO;CERTIFICADOS;MASCULINO;51;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;2406358;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff88;43678;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;47;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;1587690;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff89;43483;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;45;BARRANQUILLA;RENTAS MEDIAS;INACTIVO;NoTiene;ACTIVO;1966634;NaN;NO;INTERMEDIO HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
